ID,method,prop_POC,C_N_MAOC,C_N_POC,yield_N,yield_C,Clay,pH,TOC,TOC_mesured,TIC,num_ID,c_poc,c_maoc
WF CR,M2,18.5035031496128,15.6316,47.6816,95.9228734392523,99.3266056708825,43.2,7.3,18.6,37.73,19.6,67,6.981371738348909,30.74862826165109
FM MI,M2,9.99271601924732,10.8817,20.5552,101.833851426642,104.067958793356,15.0,6.7,19.3,19.95,1.3,53,1.9935468458398404,17.956453154160158
FM CR,M2,9.75290769398426,10.6939,20.5158,87.2326967453318,92.1066522358673,15.0,6.7,17.2,18.62,1.3,52,1.8159914126198695,16.80400858738013
DE MI,M2,21.4463260215002,10.0156,14.9829,92.3763321740418,100.312667433193,44.7,7.1,23.2,24.26,1.7,48,5.202878692815949,19.057121307184055
DE CR,M2,10.9985579014726,8.6533,12.4484,95.9067010975997,98.8282753665643,44.7,7.1,11.0,13.1,1.7,47,1.4408110850929106,11.659188914907089
BZE 6201,M2,20.8931202542565,10.2091,13.5629,93.816,107.503063667796,15.0,7.85,25.09,21.97,11.01,33,4.590218519860153,17.379781480139844
BZE 6035,M2,22.0323479047958,14.6109,16.6963,92.9268449172907,93.7557972254586,3.8,6.07,21.73,36.41,0.0,32,8.02197787213615,28.388022127863845
BZE 5406,M2,28.1680755439226,8.8249,10.847,89.6259445458086,96.3676893310412,37.6,7.38,81.08,75.38,4.18,31,21.233095345008856,54.14690465499114
BZE 5300,M2,35.3263511477596,9.3249,11.3759,92.4631992714781,93.6375185091955,20.5,6.58,41.6,43.51,0.0,30,15.370495384390203,28.1395046156098
BZE 5216,M2,18.5417861846624,10.1961,15.4565,100.312960471523,97.8769603030198,22.4,5.46,61.2,60.27,0.0,29,11.175134533496028,49.094865466503975
BZE 4770,M2,26.46493334508,10.7511,13.9967,91.9428002283492,98.4111418797942,67.2,7.31,80.16,73.59,2.84,28,19.475544448644374,54.11445555135563
BZE 4764,M2,24.9420378151402,9.0505,15.2286,93.2529514224889,91.864152806749,46.0,6.42,56.45,56.22,0.0,27,14.02241365967182,42.19758634032818
BZE 4655,M2,15.2855658272991,9.8614,14.9867,94.8946054077117,99.9112925948513,21.5,6.6,15.67,16.45,0.31,26,2.5144755785907016,13.935524421409298
BZE 3952,M2,16.3632121552016,9.808,15.3808,89.8147770226911,101.857951163612,31.4,8.1,14.04,15.7,15.81,25,2.569024308366651,13.130975691633346
BZE 3581,M2,11.4897442112671,8.2824,14.3592,98.6125025416798,96.4902833620525,29.3,6.36,11.01,11.44,0.0,24,1.3144267377689562,10.125573262231043
BZE 3290,M2,34.9512867947801,9.3696,11.4306,96.1489922125515,97.1326113369446,31.1,6.01,59.29,58.57,0.0,23,20.470968675702704,38.09903132429729
BZE 2659,M2,18.2214512717578,11.7502,13.6376,96.3362509946573,102.925758462688,21.5,7.58,22.38,21.4,2.63,22,3.8993905721561686,17.500609427843827
BZE 1412,M2,23.8776469550425,15.1918,15.58,91.422256086339,93.2887135988244,3.2,5.9,15.53,15.63,0.0,20,3.732076219073143,11.897923780926856
BZE 1173,M2,41.5115934750267,14.5878,14.2852,98.0955355560908,98.5096321747417,5.2,5.89,59.77,61.95,0.0,18,25.71643215777904,36.233567842220964
BZE 0259,M2,22.684687631004,11.4826,15.4301,95.137707198808,100.528367186154,34.1,7.49,27.13,27.08,4.64,17,6.1430134104758825,20.936986589524118
BZE 0060,M2,32.6877591349801,9.4941,13.1258,99.3173891380169,99.2689511363279,56.1,5.3,120.31,116.42,0.0,16,38.05508918494383,78.36491081505616
BS MI,M2,19.3655704013001,11.015,20.5518,96.7065423732409,95.3079122461097,4.0,6.25,18.3,8.83,0.0,15,1.709979866434799,7.120020133565201
